Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
action/agent.rs                             1224                 0   100.00%          48                 0   100.00%         762                 0   100.00%          74                 0   100.00%
action/confirm.rs                           1137                 0   100.00%          68                 0   100.00%         701                 0   100.00%          34                 0   100.00%
action/diff.rs                              2581                 0   100.00%          86                 0   100.00%        1517                 0   100.00%         108                 0   100.00%
action/git.rs                               1868                 0   100.00%          64                 0   100.00%         998                 0   100.00%          42                 0   100.00%
action/misc.rs                               232                 0   100.00%          17                 0   100.00%         143                 0   100.00%           4                 0   100.00%
action/mod.rs                               2588                 0   100.00%          97                 0   100.00%        1288                 0   100.00%          34                 0   100.00%
action/modal.rs                              747                 0   100.00%          50                 0   100.00%         423                 0   100.00%          64                 0   100.00%
action/navigation.rs                         454                 0   100.00%          33                 0   100.00%         289                 0   100.00%           4                 0   100.00%
action/picker.rs                             954                 0   100.00%          88                 0   100.00%         742                 0   100.00%          16                 0   100.00%
action/preview.rs                            323                 0   100.00%          14                 0   100.00%         211                 0   100.00%          26                 0   100.00%
action/text_input.rs                        1321                 0   100.00%         142                 0   100.00%        1050                 0   100.00%          34                 0   100.00%
agent/instance.rs                            337                 0   100.00%          29                 0   100.00%         245                 0   100.00%          10                 0   100.00%
agent/status.rs                               92                 0   100.00%          13                 0   100.00%          56                 0   100.00%           0                 0         -
app/event.rs                                 294                 0   100.00%          42                 0   100.00%         171                 0   100.00%           2                 0   100.00%
app/handlers/broadcast.rs                    285                 0   100.00%          14                 0   100.00%         174                 0   100.00%          10                 0   100.00%
app/handlers/git_ops/merge.rs               2466                 0   100.00%          86                 0   100.00%        1452                 0   100.00%          54                 0   100.00%
app/handlers/git_ops/mod.rs                  124                 0   100.00%           4                 0   100.00%          72                 0   100.00%           6                 0   100.00%
app/handlers/git_ops/push.rs                  70                 0   100.00%           3                 0   100.00%          45                 0   100.00%           6                 0   100.00%
app/handlers/git_ops/rebase.rs               194                 0   100.00%           9                 0   100.00%         118                 0   100.00%          12                 0   100.00%
app/handlers/git_ops/rename.rs              2343                 0   100.00%          62                 0   100.00%        1031                 0   100.00%           2                 0   100.00%
app/handlers/mod.rs                         1904                 0   100.00%          84                 0   100.00%        1038                 0   100.00%           0                 0         -
app/handlers/preview.rs                     3107                 0   100.00%          82                 0   100.00%        1426                 0   100.00%          34                 0   100.00%
app/handlers/window.rs                       564                 0   100.00%          22                 0   100.00%         378                 0   100.00%          22                 0   100.00%
